OBJECTID,ID,Pop,Shape_Length,Shape_Area
1,3966,12211.08398,0.266666,0.001666675
2,3967,14913.76563,0.333336,0.002291667
3,3968,22004.81055,0.283334,0.002569439
4,3969,15526.08691,0.283332,0.002083308
5,3970,7357.668945,0.183332,0.001111089
6,3971,6337.259766,0.166666,0.001180536
7,3972,16754.43359,0.233334,0.002083342
8,3983,11423.85547,0.250002,0.002083325
9,3988,5420.111328,0.2,0.001180536
10,4025,10499.30469,0.2,0.001736114
11,4032,5763.512695,0.183334,0.001180586
12,4040,46427.92969,0.949996,0.009097219
13,4044,5065.90918,0.166664,0.000902772
14,4055,5029.055664,0.199998,0.000972203
15,4077,6174.644531,0.183332,0.001041667
16,4082,161798.3281,0.783334,0.013402781
17,4119,7346.818359,0.166668,0.001180578
18,4133,169887.4219,1.149994,0.019930611
19,4143,29468.47656,0.516668,0.005347203
20,4145,64563.47656,0.933332,0.009444422
21,4151,8275.847656,0.25,0.001527772
22,4152,9637.847656,0.183332,0.001527756
23,4155,9922.613281,0.25,0.001736122
24,4166,90387.05469,1.149996,0.017430528
25,4170,6416.241699,0.216668,0.001250008
26,4171,5417.826172,0.166666,0.001041675
27,4172,9325.040039,0.283334,0.001736089
28,4174,13971.52441,0.283338,0.001944431
29,4175,24021.64844,0.383338,0.003402789
30,4180,8075.965332,0.199998,0.001180553
31,4185,7696.148926,0.266664,0.001597219
32,4188,53746.6875,0.549998,0.006388903
33,4201,14651.56934,0.3,0.002222219
34,4202,24071.34375,0.433334,0.003819447
35,4203,21727.81445,0.416666,0.003819422
36,4204,30418.19922,0.416668,0.003611131
37,4209,28624.18164,0.733336,0.005416658
38,4211,30481.63672,0.316666,0.002916675
39,4212,6255.806152,0.2,0.001111097
40,4213,5183.927246,0.133334,0.000625017
41,4214,17487.00586,0.266666,0.002083333
42,4215,6975.305664,0.266666,0.001319439
43,4217,33310.39453,0.383334,0.003680569
44,4222,8283.421875,0.183334,0.001180586
45,4233,8708.961914,0.200002,0.001319431
46,4238,14542.44043,0.383332,0.002638878
47,4242,30610.20313,0.366664,0.003749983
48,4243,20479.41211,0.516666,0.003541658
49,4244,7309.837891,0.199998,0.001388886
50,4252,10743.85254,0.216666,0.001458342
51,4255,5278.717773,0.166666,0.000972211
52,4257,25936.68555,0.4,0.004236139
53,4258,33829164,75.33333,2.514236197
54,4261,92858.17969,0.733336,0.011458333
55,4268,5149.041016,0.166666,0.000902781
56,4271,23062.09375,0.55,0.003750008
57,4275,137225.0625,0.88333,0.011666608
58,4277,25926.63867,0.35,0.003611106
59,4280,360698.4688,2.51666,0.032986089
60,4285,5415.729492,0.166668,0.000972219
61,4287,7521.341309,0.216668,0.00145835
62,4291,8140.473633,0.166664,0.001111089
63,4303,56631.64063,0.433332,0.005486122
64,4314,264002.875,2.316666,0.027777806
65,4315,1717540.25,7.516658,0.157777806
66,4317,5775.104492,0.183336,0.001111097
67,4321,6018.735352,0.183332,0.001041683
68,4326,24057.67969,0.316666,0.003819447
69,4327,8264.420898,0.199998,0.001180544
70,4332,259644.9063,1.433336,0.020694489
71,4362,14764.69141,0.316666,0.002222203
72,4368,26857.11523,0.516666,0.003749983
73,4374,12907.72949,0.333334,0.002291675
74,4385,13285.83789,0.41667,0.002152806
75,4419,21022.32031,0.516668,0.003680553
76,4433,40254.70313,0.466666,0.004513861
77,4444,27536.5332,0.383334,0.003819481
78,4445,19280.79883,0.3,0.002916683
79,4447,216512.5,1.633338,0.024444472
80,4448,9509.283203,0.166668,0.001180569
81,4476,87137.61719,0.866666,0.012847253
82,4483,6509.407227,0.233332,0.001319464
83,4489,5851.533203,0.183334,0.001111114
84,4499,16718.21094,0.433332,0.003055569
85,4516,6671.302734,0.25,0.001319456
86,4520,71395.0625,0.733328,0.007013853
87,4522,8823.414063,0.200002,0.001111139
88,4568,16832.2168,0.183334,0.001458325
89,4598,9810.014648,0.2,0.001736106
90,4649,540037.125,2.98334,0.049166625
91,4683,21839.17383,0.483334,0.003611122
92,4702,6172.34668,0.216668,0.001041683
93,4723,13235.62988,0.200002,0.001319456
94,4739,20031.22266,0.333334,0.002777781
95,4754,7090.414551,0.200002,0.001388886
96,4799,13447.57617,0.216668,0.001666658
97,4800,6502.291992,0.283334,0.001388869
98,4845,29724.12109,0.416666,0.004027772
99,4858,31987.14063,0.333332,0.003750008
100,4874,14868.5625,0.566666,0.002916675
101,4885,11564.55078,0.2,0.001458342
102,4898,10617.09961,0.333334,0.002013886
103,4922,50137.64063,0.516668,0.007013903
104,4930,110855.75,0.800002,0.009305553
105,4931,61437.59375,0.566664,0.0070833
106,4957,7690.280762,0.233334,0.001388894
107,4984,54329.45703,0.500002,0.004930553
108,4995,87149.9375,0.85,0.009444439
109,5001,45295.24219,0.63333,0.005972228
110,5043,9094.771484,0.183332,0.001388886
111,5071,32076.25,0.233334,0.002152781
112,5164,5756.761719,0.2,0.000972228
113,5180,11229.32617,0.249998,0.001388861
114,5200,828618.8125,1.416666,0.0327083
115,5217,10579.7832,0.283334,0.00166665
116,5239,7694.184082,0.216668,0.001388903
117,5294,10744.88477,0.233332,0.001388869
118,5295,10983.98242,0.216666,0.001597228
119,5296,5306.237793,0.233332,0.001041667
120,5297,8509.798828,0.216668,0.001249992
121,5355,10497.12891,0.216668,0.001666667
122,5359,5342.163086,0.166666,0.000972219
123,5365,26049.01172,0.233332,0.002222203
124,5368,6165.455566,0.2,0.001319447
125,5374,16414.12109,0.249998,0.001805553
126,5376,20061.43164,0.366666,0.003125017
127,5381,5392.108887,0.183332,0.001041667
128,5387,2041102.5,4.866676,0.177013903
129,5398,17913.30078,0.350002,0.002916683
130,5407,42911.77344,0.316666,0.003472203
131,5418,14519.9209,0.35,0.002500008
132,5420,18255.68164,0.366666,0.002916633
133,5421,90694.07031,0.983332,0.012638861
134,5423,29937.32031,0.699996,0.004791667
135,5427,7802.794922,0.233332,0.001388894
136,5430,178878.125,1.216662,0.018819489
137,5441,5545.088867,0.133332,0.000902772
138,5458,15547.56055,0.283334,0.001805544
139,5480,10007.32617,0.200002,0.001319472
140,5482,13822.1875,0.2,0.001875
141,5486,8729.34375,0.25,0.001597228
142,5490,171964.2188,0.750002,0.011111114
143,5491,9792.393555,0.316664,0.001805544
144,5494,14905.9707,0.366668,0.002499983
145,5501,16471.58398,0.283332,0.002500033
146,5519,60062.83984,0.383334,0.004305544
147,5524,16700.41016,0.449998,0.003194422
148,5537,42599.33984,0.45,0.005347244
149,5550,15609.90625,0.4,0.002777781
150,5554,169728.0625,0.666664,0.011111114
151,5555,26701.35547,0.316664,0.003055536
152,5564,99232872,219.26675,7.733125067
153,5590,6867.353516,0.199998,0.001180553
154,5667,62415.56641,0.616666,0.007847219
155,5707,7510.305664,0.166668,0.001111122
156,5715,21365.17188,0.300002,0.002777806
157,5721,10437.43164,0.233334,0.001458342
158,5724,8724.395508,0.250002,0.001597244
159,5725,11015.58398,0.200002,0.001458333
160,5736,5364.50293,0.15,0.000833325
161,5752,9608.370117,0.299998,0.001666692
162,5759,11654.05469,0.25,0.001805594
163,5760,60865.3125,0.466666,0.005972194
164,5762,5304.86084,0.183334,0.000972211
165,5763,10106.81836,0.216668,0.001388894
166,5776,5562.534668,0.149998,0.000902772
167,5779,9800.75,0.199998,0.001111106
168,5782,86825.49219,0.849998,0.01041665
169,5789,16253.79004,0.366666,0.002500033
170,5793,9572.481445,0.150002,0.001319481
171,5801,5701.529297,0.199998,0.001111106
172,5808,180978.8125,1.516666,0.017083383
173,5830,34778.13672,0.383332,0.003333342
174,5837,5592.395996,0.1,0.000625
175,5844,11473.13379,0.166668,0.001249992
176,5847,127886.9141,1.4,0.017708392
177,5853,9785.001953,0.283336,0.001875008
178,5859,5217.429199,0.166668,0.000902772
179,5861,17997930,81.54999,1.648333208
180,5866,5157.106445,0.166664,0.00104165
181,5867,6198.279785,0.15,0.001111114
182,5868,90690.22656,1.383328,0.015902756
183,5870,30651.57227,0.549996,0.004861131
184,5876,16264720,5.016662,0.165555611
185,5877,46384.16406,0.716668,0.006805569
186,5880,6002.047852,0.183334,0.00104165
187,5881,23280.1582,0.383336,0.003194439
188,5882,102330.8672,0.616662,0.006944422
189,5883,67830.41406,0.699998,0.006319506
190,5884,5695.370117,0.116668,0.000555569
191,5885,39989.34375,0.683334,0.005694489
192,5886,5064.553223,0.133334,0.000625008
193,5887,33079.86719,0.316668,0.003541675
194,5888,26671.15234,0.499998,0.004166658
195,5889,8811.53125,0.3,0.001458325
196,5891,58480.92969,0.5,0.005555553
197,5892,12818.1582,0.21667,0.001250025
198,5893,70151.30469,0.850002,0.00937505
199,5894,136989.9844,1.966662,0.021041717
200,5895,15545.4834,0.316666,0.0025
201,5896,5516.55127,0.116668,0.000624992
